question,sentence,label
PICC线放置手术过程容易吗？,然后，PICC被通过鞘管沿着导线推进。,not_entailment
有没有任何间隔变化？,双侧肺部不透明度有间期性的改善，最明显的在右肺底部。,entailment
肺部有任何异常吗？,软组织和骨质结构无明显异常。,not_entailment
有冠状动脉疾病的任何迹象吗？,印象：正常研究。,entailment
GI道中有任何活动性出血部位吗？,印象：消化道出血研究结果为阴性。,not_entailment
插管拔除后，肺部情况如何？,肺部充气更好，这暗示着顺应性正在增加。,not_entailment
我们在肝脏里看到任何物质了吗？,虽然未发现明显的肝脏病变，但请考虑使用其他形式的腹部影像学（MRI、CT）进行进一步的随访。,entailment
胸部X光上有没有 noted 任何间隔变化？,这些并未发生重大变化。,not_entailment
骨头里有任何缺陷吗？,主要的颅内池袋保持完好。,not_entailment
肺部有任何吸入的迹象吗？,没有肺实质浓缩或胸腔积液。,entailment
胸部X光显示了什么？,起搏器电极位置没有间隔变化。,entailment
有肺栓塞的证据吗？,远端气管中存在依赖性物质，可能是黏液。,not_entailment
有没有肺水肿的证据？,没有气胸。,not_entailment
有血栓的证据吗？,在这个限制范围内，门静脉是通畅的；然而，波形并未得到良好的评估。,entailment
胸壁有受伤吗？,发现：心脏大小正常，没有肺血管充血。,not_entailment
中心线放置得正确吗？,最终报告 指示：评估中心线放置情况。,not_entailment
经过胸腔穿刺术后，有没有出现任何新的异常情况？,发现双侧胸腔积液。,entailment
有没有任何间隔变化？,印象：双肺不透明度由PCP（肺囊虫病）改善。,entailment
病人的头部有包含性出血吗？,印象：右顶叶和左侧丘脑的形态稳定，但出现出血，这让人担忧这位已知有肺癌转移到大脑的患者可能出现了出血性转移。,entailment
间质性浸润是否发展成实变？,存在双侧模糊的地玻璃样不透明性，与网格状改变有关。,entailment
左内颈静脉导管尖端是否在上腔静脉中？,心脏大小在正常范围内。,not_entailment
有狭窄的证据吗？,没有证据显示任何一侧存在重要的狭窄。,entailment
有没有新的肺部浸润？,未见胸膜积液现象。,not_entailment
OGT是否放置正确？,一个NG（鼻胃）导管被卷在胃底，左侧PICC（经皮内静脉中心）线和左锁骨下血管导管保持在原位，位置未改变。,entailment
GI中是否有出血的证据？,结肠憩室病，没有憩室炎的迹象。,not_entailment
ETT放置得正确吗？,印象：位置过低的气管插管，应重新放置以达到最佳位置。,entailment
肾脏的灌注情况如何？,左肾的尺寸是9.5厘米。,not_entailment
头部有出血现象吗？,[**Doctor Last Name 107**] -白质分化得以保持。,not_entailment
有肺气胸的证据吗？,排除气胸。,not_entailment
肺部是否有任何炎症的迹象？,印象：单向正位胸部视图上未见吸入性肺炎的证据。,entailment
病人的头部有局部出血吗？,在实质性出血的上缘部位，存在一个形状圆形的异质性集中区，这可能代表一个转移性病变。,not_entailment
Dobhoff管道是否正确放置？,未发现气胸。,not_entailment
你找到了呼吸急促的原因了吗？,心脏肥大,entailment
血肿有没有增加？,没有脑积水。,not_entailment
胃管的位置如何？,ET管在颈部弯曲位置终止，距离气管隔2厘米。,not_entailment
左侧胸壁有任何异常吗？,发现：正侧位胸部视图显示左前胸壁位置存在一个电子胶囊。,not_entailment
CT扫描上的鼻窦怎么样？,出血性分泌物存在于鼻腔内，扩展至右侧上颚窦。,entailment
有没有肺炎的证据？,双侧磨玻璃样不透明度，以及肺底部更密集的实变区域。,entailment
有没有腹腔内脓肿的迹象？,骨盆中有少量的游离液体。,not_entailment
有没有肺部浸润的证据？,心脏纵隔剪影正常。,not_entailment
在胃肠道存在出血的证据吗？,没有主动脉夹层或主动脉瘤的证据。,not_entailment
血肿有任何增长吗？,印象：右侧额叶脑实质内出血表现稳定。,entailment
我们在颈动脉血管中看到任何斑块吗？,没有证据显示两侧有明显的狭窄。,entailment
肺部有任何液体吗？,有一个NG（鼻胃）管，其管尖位于胃中。,not_entailment
胆汁是如何通过胆道树流动的？,印象：右上象限超声波检查正常，未见结构异常。,entailment
我们是否在右侧和左侧上肢的静脉中看到任何血栓？,左侧头静脉在左侧肘窝区域显示充盈缺损，这与部分血栓形成相一致。,entailment
有胸腔积液的证据吗？,可以看到小的双侧胸腔积液。,entailment
上肢的静脉怎么样？,右侧肱静脉远端部分在前臂窝处无法看到。,not_entailment
PICC是否被放置在左臂上？,在实时超声引导下，使用21号微刺穿针访问了左侧肱静脉。,not_entailment
Dobhoff管是否正确放置？,心脏轻微扩大。,not_entailment
你找到了呼吸频率增加的原因吗？,这种弥漫性双侧模糊浸润的加重与PCP [**姓名初始(PRE) 8079**]的加重一致。,entailment
左侧内颈静脉导管的顶端是否在上腔静脉中？,印象：左侧IJ导管位于上腔静脉中。,entailment
我们能否看到dobhoff管的尖端在胃或十二指肠中？,馈食管的尖端被确定在远端食管中。,entailment
你找到了气胸的证据吗？,没有观察到气胸。,entailment
肺部是否出现了较少或较小的实变区？,双侧地毯状玻璃状改变，斑片状不透明度有间歇性改善。,entailment
有没有任何质量/组织对神经组织产生压力效应？,印象：无急性颅内异常。,entailment
肺部的弥漫性恢复期不透明度有没有发生任何变化？,双侧地面玻璃影、斑片状浑浊度有间断性的改善。,entailment
CT上的大脑看起来是什么样的？,印象：无急性颅内损伤的证据。,entailment
NGT放置正确吗？,信息已与转诊医生，[**姓氏（名称模式4）**]进行了交流。,not_entailment
在肺炎的期间内有任何变化吗?,在上腹部可见到中度胃扩张。,not_entailment
天鹅导管位于哪里？,肋膈角变钝。,not_entailment
你找到了呼吸频率增加的原因吗？,印象：恶化的PC肺炎。,entailment
我们看到肺部有任何液体吗？,可能的右上肺部固结区域。,not_entailment
空域内是否有间隔变化？,内插气管导管已经插入，其尖端大约在隆突之上3厘米的位置。,not_entailment
在拔管后，肺部有任何间隔变化吗？,在双侧肺不透明度上有间歇性的改善，最明显的在右肺底部。,entailment
有狭窄的证据吗？,右侧的ICA到CCA的比例是1.0，左侧是1.7。,entailment
内气管插管位置是什么？,建议进行轻度压缩。,not_entailment
GI中是否有出血的证据？,胸椎存在多级退行性变化。,not_entailment
胸腔穿刺术是否在左侧引起了气胸？,左侧胸腔积液已有间歇性减少。,not_entailment
起搏器的位置在哪里？,心脏大小在正常范围的上限，并且稳定。,not_entailment
存在使呼吸困难恶化的原因吗？,起搏器导线的位置没有间隔变化。,not_entailment
大脑实质中有任何异常吗？,心室、脑池和脑沟的大小和形状是正常的。,not_entailment
肺部有渗透病变吗？,肺部容积在呼气时较低。,not_entailment
有没有肺炎的证据？,可能存在轻微的左侧胸腔积液。,not_entailment
右侧的IJ线是否正确放置？,在大肠和小肠中有中度的气体积聚。,not_entailment
有深静脉血栓形成的证据吗？,印象：左上肢深静脉血栓(DVT)的证据未发现。,entailment
肺部内是否有渗透物的证据？,尽管肺部容积低，但没有急性肺炎的证据。,entailment
我们在肝脏中看到任何肿块吗？,在腹部未见到腹水。,not_entailment
NGT放置正确吗？,未发现气胸。,not_entailment
有没有任何骨骼缺陷的证据？,未发现急性骨折或创伤性错位。,entailment
PICC线是否放置在左臂？,该线路已经可以使用。,not_entailment
颈椎的对齐是什么？,未发现急性骨折或创伤性错位。,entailment
有没有任何渗透的迹象？,排除渗透。,not_entailment
有没有出血的证据？,没有质量效应或正常中线结构的移位。,not_entailment
有肺炎的迹象吗？,临床指标：疑似吸入性肺炎。,not_entailment
左侧胸壁上有任何异常吗？,在侧面视图上，可以识别出主动脉瓣区域内的钙化。,not_entailment
有肺炎的证据吗？,印象：没有胸部创伤的证据。,not_entailment
右侧大隐静脉的情况如何？,右侧小隐静脉虽小但通畅，其直径测量为0.06、0.08和0.09厘米。,not_entailment
有没有任何质量/组织对神经组织产生压力效应？,没有质量效应或正常中线结构的位移。,entailment
门静脉通畅吗？,在这种限制下，注意到门静脉是通畅的；然而，波形并未得到很好的评估。,not_entailment
我们是否看到冠状动脉中有任何阻塞？,压力和休息灌注图像显示没有心肌灌注缺损。,entailment
有任何异常肿块存在吗？,印象：无急性颅内异常。,entailment
有急性过程的证据吗？,没有胸腔积液、局灶性肺实变或气胸。,not_entailment
线路是否正确放置？,这条线标示出了正确的路径，线的尖端在中央上腔静脉的上方。,entailment
门静脉是否通畅？,在这个限制内，门静脉中有血液流动; 然而，波形并没有很好地显示出来。,entailment
经过抽胸腔积液术后有没有新的异常情况？,后心区呈现不透明，与肺不张症状相符。,not_entailment
有水合物的证据吗？,印象： 1）没有肾积水的证据。,entailment
我们是否看到任何导致胸膜周围空间有气体的创伤？,未检测到积液或气胸。,entailment
肾脏的灌注情况如何？,电阻指数升高，在右肾为0.73-0.78，左肾为0.64-0.82。,not_entailment
有CHF的证据吗？,肺血管正常。,not_entailment
有肺炎的证据吗？,印象：在单一的前后位胸部视图上没有看到吸入性肺炎的证据。,entailment
间隔变化存在于肺回虫肺炎中吗？,考虑到技术上的差异，间隔中没有显著的变化。,entailment
中心静脉线是否位于预定的位置？,患者已接受了右侧中心静脉通路置管。,not_entailment
在这段时间内，PCP有任何变化吗？,在两侧地面玻璃样影和斑片状不透明度方面有了间歇性的改善。,entailment
有肺气胸的迹象吗？,存在广泛的双侧空气间隙渗透，左侧稍微更明显。,not_entailment
肺实质清晰吗？,考虑到技术上的差异，间隔中没有显著的变化。,not_entailment
GSV的状况如何？,未能观察到大隐静脉的中部，这与其被采集过的历史相吻合。,entailment
肺部是否有任何间质浸润的迹象？,印象：右下肺叶出现斑片状不透明度，这可能代表早期肺炎。,entailment
胸腔穿刺术是否在左侧引起了气胸？,看不到气胸。,entailment
在拔管后，肺部有没有任何间隔性的变化？,肺部充气更好，暗示顺应性在提高。,not_entailment
有新的渗透影的证据吗？,右肺尖部显示出一种模糊的不透明度，投射在第二肋骨前端的水平上，可能代表阴影的叠加或新的不透明度，考虑到在之前的X光片上没有发现这一情况。,entailment
有胃酸反流的证据吗？,没有蜜糖、布丁或饼干等不同稠度食物引起的口咽部残留或误吸现象。,not_entailment
自上次以来，肺部状况有所改善吗？,2) 双侧弥漫性磨玻璃样及肺泡浑浊，符合肺囊肿肺炎的表现，且无变化。,entailment
存在使呼吸困难加重的原因吗？,肺部容量偏低。,entailment
是否有任何阻塞在肠系膜上动脉中？,印象：腹腔和SMA通畅，超声无狭窄迹象。,entailment
在此期间，X光片上的肺炎有变化吗？,这些并没有发生显著的变化。,entailment
在胃肠道中有出血的证据吗？,存在主要涉及基底的肺不张，以及右肺中叶的瘢痕。,not_entailment
CT扫描上的鼻窦怎么样？,轨道和轨道锥体在正常范围内。,not_entailment
肺部有任何异常吗？,印象：假设患者的症状是急性发展的（鉴于此前没有研究），这最可能代表肺水肿或急性呼吸窘迫综合症（ARDS）。,entailment
有肺炎的症状吗？,与之前的研究相比，紧邻肺门肿块的肺泡不透明区已经消退。,entailment
有没有任何出血的证据？,发现：没有颅内出血。,entailment
有狭窄病的证据吗？,肠系膜上动脉和腹股沟动脉的通径广泛开放，多普勒评估显示正常的频谱流动和在正常范围内的速度。,entailment
有没有肺炎的任何迹象？,持续的间质和肺泡浸润，与PCP（肺孢子虫病）相符。,entailment
胸痛的位置在哪里？,可以用于比较的是一个类似的先前胸部检查，日期为[**2100-12-15**]。,not_entailment
中心静脉线是否位于预期的位置？,最终报告  胸部X光片： 指标：新的中心静脉通路线，创伤，气胸评估。,not_entailment
有肺炎的证据吗？,未见气胸。,not_entailment
有骨折的迹象吗？,没有自由腹腔空气的证据。,not_entailment
有没有骨折的证据？,发现：在左手第四中指骨远端部分内部，呈现出一线形透亮区，进展至关节内表面，与急性骨折相符。,entailment
肺炎有间隔性变化吗？,2）弥漫性双侧磨玻璃样和肺泡浑浊，符合卡氏肺囊虫肺炎的表现，且未见变化。,entailment
我们在右侧和左侧上肢的静脉中看到任何血栓吗？,左侧头静脉的其余部分通畅，显示流量和直径分别为0.39、0.33、0.23、0.29、0.35、0.36和0.28。,not_entailment
这里有恶化的肺炎吗？,自上次检查以来，整体外观没有变化。,entailment
气管插管的尖端应该放在哪里？,NG管在胃底部盘绕，远端尖端朝向头侧。,not_entailment
在这个时间段里，肺炎有任何改变吗？,肺容量没有变化。,not_entailment
肺叶是否显示出塌陷的迹象？,鼻胃管和气管插管的位置都很满意。,not_entailment
有没有骨折的迹象？,未发现错位的肋骨骨折。,entailment
胸腔内有出血的证据吗？,腹主动脉及其分支有广泛的钙化。,not_entailment
大脑实质中有任何异常吗？,技术：无静脉对比剂的脑部CT。,not_entailment
铅是否正确放置？,没有气胸。,not_entailment
左锁骨下中心线是否在期望的位置和地点？,观察到一条新的左侧锁骨下中央静脉导管，其尖端位于中上腔静脉。,entailment
间隔变化在肺回虫病中存在吗？,考试与前一天保持不变。,entailment
右侧PICC（经皮内置中心静脉导管）远侧尖端的位置是什么？,湿读：EAGg 星期五 [**2126-7-19**] 下午5:54 右侧PICC的远端尖端位于上至中部的上腔静脉。,entailment
有没有肺水肿的证据？,肺血管看起来在正常范围内，没有水肿的证据。,entailment
什么是颈椎的排列方式？,印象：未检测到急性骨折或创伤性错位。,entailment
这些浸润物之间有什么差异吗?,对浸润的跟踪。,not_entailment
在鼻窦内部或周围有任何血液积聚吗？,在右侧蝶窦发现了少量的出血层。,not_entailment
在肺炎的期间内是否有任何变化？,在基底较密集的固结区域，已经出现了间歇性的改善。,entailment
右侧IJ线是否正确放置？,评估右侧IJ中心线位置。,not_entailment
胃鼻管的尖端在哪里？,病人被旋转。,not_entailment
患者的头部有局部出血吗？,心室在外观上是稳定的。,not_entailment
有PE的证据吗？,带静脉对比剂的胸部CT：没有肺栓塞的证据。,entailment
手指有任何骨折吗？,发现：第四中指骨折正在愈合。,entailment
肺部有任何液体吗？,AP仰卧便携式胸部X光片：再次可见左侧IJ导管稳定位置结束于近端的上腔静脉。,not_entailment
病人是否仍然有双侧肺部浸润？,双侧有模糊的地玻璃样不透明区域，以及在肺底部有更多的融合性实变区域。,entailment
肺动脉和肺静脉怎么样？,含静脉对比剂的胸部CT: 没有肺栓塞的证据。,entailment
胸部X光片上有可以解释呼吸急促的任何东西吗？,心脏肥大。,entailment
有胸腔积液的证据吗？,发现：已经间隔移除了肺动脉导管。,not_entailment
上肢的静脉情况如何？,右侧基础静脉的直径分别为0.35、0.34、0.31、0.24。,not_entailment
有没有任何集合的血液在鼻窦内或周围?,由于外伤，在鼻腔和右侧上颌窦内出现出血产物。,entailment
胃肠管的位置如何？,ET管在颈部弯曲位置处距离气管隆突2厘米处结束。,not_entailment
GSV的状况是什么？,只能看到起始部位的右大隐静脉的一小部分。,entailment
ETT管是否被放置在正确的位置？,印象：气管插管位置良好，大约位于隆突上方2厘米处。,entailment
出血的大小是多少？,发现：与前几天的研究相比，右顶叶脑实质内出血及周围水肿的现象稳定。,entailment
在肠系膜上动脉中有任何阻塞吗？,没有光谱扩展。,not_entailment
有水合物的证据吗？,无肾积水的证据。,entailment
迷走神经刺激器电缆的位置在哪里？,已注意到颈椎中等程度的退行性改变。,not_entailment
我们是否看到有任何颈部肿块阻碍了喉返神经（RLN）的通路？,在喉返神经的路径上没有发现肿块的证据。,entailment
出血的大小是多少？,问题：出血性肿块。,not_entailment
胸腔内有出血的证据吗？,技术：根据主动脉CTA协议，进行胸部和腹部的静脉注射对比剂CT检查。,not_entailment
有没有任何腹腔内脓肿的迹象？,没有脓肿的证据。,not_entailment
静脉映射完成了吗？,发现：进行了双侧头静脉和乌头静脉的[**医生姓**]级超声波和彩色双普勒检查。,entailment
胃管的位置如何？,NG管在胃底部盘绕，远端尖端指向头侧。,entailment
肺部内是否有渗透物的证据？,存在一个双腔起搏器，没有显著变化。,not_entailment
有没有腹膜后出血的迹象？,未被显影的肠道回肠无异常。,not_entailment
PICC是否被放置在左臂？,然后，针被换成了导管鞘。,not_entailment
NGT是否放置正确？,病人被转动了。,not_entailment
铅是否放置正确？,患者已经进行了冠状动脉旁路移植手术。,not_entailment
ET管的位置如预期吗？,AP仰卧位胸部X光片： 注意到一根气管插管的尖端位于右主支气管的开口处。,entailment
这个气管插管通畅吗？,鼻胃管的位置被调整到，其侧孔位于食道中部，尖端也位于食道中部。,not_entailment
ETT是否放置正确？,没有气胸。,not_entailment
有没有充血性心力衰竭的证据？,存在一个双腔起搏器，没有显著变化。,not_entailment
胸腔积液是减少了还是增多了？,"最终报告
指标：历史上左侧下肢缺血和恶性胸膜积液，现在呼吸急促症状加重。",not_entailment
ETT的放置是什么？,印象：1）气管插管尖部位置良好，位于隔膜上方2厘米处。,entailment
间质液的量减少了吗？,印象：改善的肺水肿，由于肺静脉压力升高，仍剩余的间质模式。,entailment
NG管似乎在哪里？,NG管置入。,not_entailment
左侧胸壁上有任何异常吗？,患者有左侧胸痛。,not_entailment
肺部有任何感染的迹象吗？,没有胸腔积液、局灶性肺实质浓缩或者气胸。,entailment
空气空间内是否有间隔变化？,影像印象：1）弥漫性双侧气道不透明性，与先前的研究相比并无显著变化，允许技术上的差异。,entailment
PICC线置入手术程序容易吗？,根据导丝上的标记，PICC被修剪到42厘米的长度。,not_entailment
GI中有出血的证据吗？,骨窗：右肩胛骨存在骨软骨下囊肿。,not_entailment
ETT管是否放置在正确的位置？,AP直立式便携式胸部X光: 有一个气管插管间隔插入，其位置看起来良好，大约在隆突上方2厘米的位置。,entailment
由于气胸，是否存在纵隔移位？,中度至大型左侧胸膜积液没有明显改变。,not_entailment
肺部是否看到有任何渗透物？,存在一个ET管，其位置在隆突上方，位置满意。,not_entailment
左侧胸部的迷走神经刺激器是否完好无损？,心脏大小在正常范围内。,not_entailment
天鹅放置得正确吗？,病人已经进行了冠状动脉旁路移植手术。,not_entailment
出血性肿块的大小有变化吗？,疑问出血性肿块。,not_entailment
下肢的静脉情况如何？,考试受到左侧肱静脉和右侧头静脉中静脉插管的显著限制。,not_entailment
左侧锁骨下中心线是否在期望的位置和地点？,现在进行左锁骨下中心线放置。,not_entailment
静脉映射完成了吗？,专利的右侧静脉近侧部分。,entailment
在肺炎的间隔期内有任何变化吗？,改善的弥漫性肺不透明度，与PCP对间歇疗法的反应相一致。,entailment
气管插管的尖端应该放在哪里？,ET管在颈部弯曲位置处，终止在离隔膜2厘米的地方。,entailment
我们在胸部侧位X光上看到任何右上叶不透明度吗？,印象：持续的右上肺叶不透明度。,entailment
铅是否放置正确？,印象：永久起搏器及其心房和心室电极的放置满意，无肺气胸的迹象。,entailment
有肝癌的证据吗？,虽然没有发现明显的肝脏病变，但请考虑使用其他形式的腹部影像（MRI，CT）进行额外的随访。,entailment
随着时间的推移，网状间质遮光度有任何变化吗？,肺容量无变化。,not_entailment
我们是否看到任何颈部肿块阻碍了RLN的路径？,在左侧喉返神经的路径上没有大面积病变或质量效应的迹象。,entailment
胸腔内有出血的证据吗？,此外，没有纵隔血肿的证据。,entailment
有出血的迹象吗？,发现：没有急性颅内出血，正常中线结构的位移，脑积水，主要或次要的血管领域梗塞。,entailment
胸部有任何骨折吗？,印象：没有胸部创伤的证据。,entailment
胸部有没有骨折？,未发现错位的肋骨骨折。,entailment
经过胸腔穿刺后，有没有出现任何新的异常情况？,血管呈现朦胧状态。,not_entailment
胸部X光上是否有任何东西可以解释呼吸急促？,肺容量低。,entailment
有狭窄病的证据吗？,存在一个小的右侧胸腔积液。,not_entailment
是否存在纵隔移位和/或气胸？,没有肺气胸。,entailment
右侧内颈静脉中心线的位置是什么？,已经插入新的右侧IJ中心线，其尖端在中央下腔静脉中部位置正确。,entailment
有没有出现胸腔积液的迹象？,印象： 与[**6-11**]比较的正侧胸部: 双侧胸腔积液量中等，左侧大于右侧，与[**6-11**]比较，左侧略有增加，右侧稳定。,entailment
是否有剩余使用寿命不透明度的迹象？,没有胸腔积液。,not_entailment
肺部图片上显示出肺泡间有任何液体吗？,印象：无明确的充血性心力衰竭。,entailment
有CAD的任何迹象吗？,与[**2153-11-8**]的研究相比，没有显著的变化。,not_entailment
胸部有任何骨折吗？,心脏纵隔剪影在稳定的配置中。,not_entailment
在肠系膜上动脉中有任何焦点性或弥漫性的动脉粥样硬化斑块吗？,印象：腹腔动脉和肠系膜上动脉通畅，超声未显示有狭窄的证据。,entailment
右侧IJ线是否正确放置？,2）新的右颈内静脉线和口咽胃管看起来位置良好。,entailment
PICC线放置手术操作容易吗？,然后将针替换为导入器鞘。,not_entailment
胸部有阻塞吗？,没有气胸。,not_entailment
颅内组织是否因出血而受到损害？,印象：无急性颅内异常。,entailment
起搏器的位置是什么？,该患者已进行过冠状动脉旁路移植手术。,not_entailment
腹部X光片上的肾脏显示正常吗？,请注意，这部影片中没有包含骨盆。,not_entailment
出血性肿块的大小有变化吗？,发现：与前几天的研究相比，右侧顶叶脑实质内出血与周围水肿的表现稳定。,entailment
新的L IJ导管放置好了吗？,印象：------左侧内静脉导管在上腔静脉中。,entailment
NG管看起来在哪里？,NG管导管终止在横膈膜以下。,entailment
心肌是否显示出任何异常？,印象：没有放射性证据显示急性心肺过程，包括充血性心力衰竭。,entailment
有没有任何间隔变化？,最终报告 指示：气管拔管后的卫生防护检查，评估间隔变化。,not_entailment
头部CT显示出任何出血吗？,技术：无对比剂头部CT。,not_entailment
是否存在RUL不透明度的迹象？,建议进行后续跟进。,not_entailment
肺的某些叶是否显示了塌陷的迹象？,印象：双侧通气改善。,entailment
CT上的大脑看起来是什么样的？,技术：未使用静脉对比剂的大脑CT扫描。,not_entailment
颅内组织是否因出血而受损？,没有质量效应或正常中线结构的移位。,not_entailment
有任何间质性浸润吗？,与之前的研究相比，充血性心力衰竭(CHF)有了轻微的改善。,entailment
肺炎的状况有间隔性的改变吗？,印象：肺部浸润比以前更广泛，但强度较低。,entailment
有急性过程的证据吗？,存在轻度的亚段性肺不张，尤其在右肺底部最为显著。,not_entailment
有没有任何充血性心力衰竭的迹象？,印象：1）心力衰竭恶化。,entailment
右侧脑内出血看起来是什么样子的？,在梯度回波图像上，右顶叶和左侧丘脑内有大面积的脑实质内出血，注射钆剂后呈现出环状增强病变。,entailment
我们看到任何肺水肿了吗？,肺部清晰。,entailment
有没有急性心肺过程的证据？,左下肺叶的混浊可能是由于肺不张，但不能完全排除叠加感染的可能性。,entailment
静脉映射完成了吗？,左侧头静脉在肘窝区部分血栓形成。,not_entailment
胸腔穿刺术是否在左侧引起了气胸？,影像印象：无肺气胸的证据。,entailment
肺动脉和肺静脉的情况如何？,结论： 1）没有肺栓塞的证据。,entailment
我们能在颈动脉血管中看到任何斑块吗？,右侧的ICA到CCA的比率是1.0，左侧的比率是1.7。,entailment
有肺炎的证据吗？,结论：1) 没有肺栓塞的证据。,not_entailment
胸部X光上的心脏情况如何？,轻度充血性心力衰竭。,entailment
出血性肿块的大小有变化吗？,在左侧丘脑的后内侧边缘，注意到一个额外的2毫米高密度病灶，可能是出血，周围有水肿。,not_entailment
我们在肺部看到任何炎症过程吗？,译文：影像学印象：恶化的PC肺炎。,entailment
有肺部浸润症状吗？,对肺部的评估揭示了广泛的磨砂玻璃样不透明和许多光滑增厚的隔膜线。,entailment
GI出血有没有任何恶化？,没有固定化或胸腔积液。,not_entailment
中心静脉导管是否在目标位置？,这条线展示了正确的路径，线的顶端超出了中央上腔静脉的中点。,entailment
左侧胸部的迷走神经刺激器是否完好无损？,正面视图上没有显示主动脉狭窄后显著扩张的证据。,not_entailment
上肢的静脉情况如何？,报告中描述了对右侧头静脉和左侧肱静脉的评估，报告日期为[**2155-6-9**]。,not_entailment
静脉映射完成了吗？,最终报告 历史：下肢静脉映射。,not_entailment
中央线的当前位置是什么？,发现：可以看到右侧内颈静脉导管，其尖端在下腔静脉与心耳交界处附近。,entailment
有没有任何骨折的证据？,没有显著的骨折碎片移位。,not_entailment
有没有任何牙菌斑的证据？,在任何一侧都没有显著狭窄的证据。,entailment
NGT放置得正确吗？,NG管导管终止在横膈膜以下。,entailment
气管插管的放置情况如何？,印象：1）ET管尖处在良好位置，距离隆突上方2厘米。,entailment
你找到了气胸的证据吗？,发现：胸部的单一正面视图。,not_entailment
胃鼻管的尖端在哪里？,鼻胃管置入。,not_entailment
肺部是否出现了较少或较小的实变区?,双侧肺部不透明度有轻微改善。,entailment
在肠系膜上动脉内部是否有任何阻塞？,主动脉的直径正常。,not_entailment
左侧内颈静脉导管尖端是否位于上腔静脉中？,发现：气管插管、右侧颈内静脉导管、鼻胃管的位置都没有改变。,not_entailment
出血性团块的大小有变化吗？,心室在外观上是稳定的。,not_entailment
有肾积水吗？,没有肾积水的证据。,entailment
有出血的迹象吗？,没有急性颅内出血。,entailment
肺血管里有没有任何血栓？,没有病理性增大的纵隔、肺门或腋窝淋巴结。,not_entailment
有肾积水吗？,印象：1）无肾积水的证据。,entailment
PICC是否被放置在左臂？,印象：通过左侧肱静脉成功放置了42厘米长的PICC，尖端位于下腔静脉的下部。,entailment
出血是否已经稳定？,发现：与前几天的研究相比，右顶叶脑实质内出血及其周围的水肿的表现稳定。,entailment
有PE的证据吗？,肝脏存在轻度脂肪浸润。,not_entailment
病人的胸腔内是否有新的液体积聚？,印象：与[**6-11**]相比的胸部正侧位：中等量双侧胸腔积液，左侧大于右侧，与[**6-11**]相比，左侧略有增加，右侧稳定。,entailment
手指有没有骨折？,评估是否有骨折。,not_entailment
气管插管是否畅通？,AP仰卧胸部X光片：观察到一根气管插管，其尖端位于右主支气管的口部。,not_entailment
DOE的进展是什么？,看不到气胸。,not_entailment
我们是否看到了肋膈角的消失？,可以看到小的双侧胸腔积液。,entailment
病人能正常地吞咽内容物吗？,没有观察到在吞咽蜜糖、布丁或饼干状食物时，会有口咽部残留或吸入现象。,entailment
EP研究后，腹膜后是否看起来正常？,脾脏看起来正常，但脾动脉的钙化明显。,not_entailment
肺部有任何弥漫性的不透明度吗？,印象：单侧AP胸部视图上未见到吸入性肺炎的证据。,entailment
大脑是否显示出任何具有不同结构的异常质块？,最终报告  检查：使用和不使用钆剂的脑部MRI检查。,not_entailment
