question,sentence,label
Is interval change present in pneumocystis pneumonia?,"Allowing for differences in technique, there is no significant change in the  interval.",entailment
Have the lungs improved since the last time ?,"2) Diffuse bilateral ground glass and alveolar opacities, consistent with  pneumocystis pneumonia, and unchanged.",entailment
Where is the chest pain located?,Available for comparison is a similar previous  chest examination dated [**2100-12-15**].,not_entailment
Is there any sign of fracture?,No displaced rib fracture is identified.,entailment
Is there any change over the interval within pneumonia?,There has been interval improvement in the more confluent areas of  consolidation at the bases.,entailment
How are the veins in the upper extremities ?,"The diameters of the right basilic vein were 0.35,  0.34, 0.31, 0.24.",not_entailment
Is there any evidence of bleeding in the chest cavity?,TECHNIQUE: CT of the chest and abdomen with IV contrast per aortic CTA  protocol.,not_entailment
Is the ETT placed correctly?,There is  no pneumothorax.,not_entailment
Was the ETT Tube placed in the correct position?,AP upright portable chest x-ray:  There has been interval insertion of an  endotracheal tube which appears in good position approximately 2 cm superior  to the carina.,entailment
Is the lead placed correctly?,IMPRESSION: Satisfactory placement of permanent pacemaker with atrial and  ventricular leads and no evidence of pneumothorax.,entailment
Is there any medistinal shift and/or pneumothorax?,There is no pneumothorax.,entailment
Is the intracranial tissue compromised with bleeding?,IMPRESSION:  No acute intracranial abnormality.,entailment
How does the brain look like on CT ?,TECHNIQUE:  CT of the brain without intravenous contrast.,not_entailment
How are the pulmonary arteries and veins?,CONCLUSION:  1) No evidence of pulmonary embolism.,entailment
Was the vein mapping completed?,FINAL REPORT  HISTORY:  Vein mapping of the lower extremities.,not_entailment
Did the hemorrhagic mass change in size?,The ventricles are stable in  appearance.,not_entailment
What is the progression of DOE?,No  pneumothorax is seen.,not_entailment
Is the Vagal nerve stimulator intact on the left side of chest?,A surgical clip is noted in the vicinity of the rib fracture  raising the suspicion that this injury was related to a previous surgical  intervention.,not_entailment
Is there any collection of air underneath the diaphragm?,The cardiac silhouette is within normal limits and there  is mild tortuosity of the aorta.,not_entailment
Are there any abnormalities in the lungs?,There are no prior studies available for comparison.,not_entailment
Does the ultrasound show any fluid collection around the gallbladder?,A focal tiny amount of fluid is seen in  the subhepatic space adjacent to the falciform ligament and gallbladder fossa.,entailment
Is fluid collection present?,"Targeted son[**Name (NI) 211**] imaging of the region adjacent to the obliquely oriented  surgical incision, shows an oblong fluid collection which measures 2.4 x 3.7  cm in the transverse plane and spans from mid abdomen to low pelvis, measuring  at least 20 cm in the SI dimension.",entailment
How has the lung picture changed from the previous x ray?,The intensity of the infiltrate is  reduced since the prior study.,entailment
Is there any thickening of left recurrent laryngeal nerve seen?,There is no sign of mass lesion or mass effect along the course of the  left recurrent laryngeal nerve.,entailment
Where is the tip of nasogastric tube?,FINDINGS:   The patient is status post median sternotomy.,not_entailment
Do we see any trauma to the pluera due to Central venous line?,The patient has received a right central venous  access line.,not_entailment
Where is the tip of nasogastric tube?,"The information is communicated with the referring physician, [**Last Name (NamePattern4) **].",not_entailment
Do we see any fluid in the lungs?,Left ventricular prominence without evidence of heart failure.,entailment
Is there evidence of infiltrate within the lungs?,There is a patchy opacity in  the right upper lung which may relate to an infectious process.,not_entailment
Did the pulmonary infiltrates go down?,IMPRESSION:  Persistent bilateral interstitial process with linear and discoid  atelectasis bilaterally as described.,entailment
Was the ETT Tube placed in the correct position?,Right  internal jugular central venous catheter is seen in stable position emanating  in the middle superior vena cava.,not_entailment
Do we see any neck mass obstructing the course of RLN?,Assess the course of the recurrent  laryngeal nerve.,not_entailment
Are there any signs of immobility of the GI tract?,IMPRESSION:  Trace aspiration with thin consistencies.,entailment
Is there any cardiomegaly?,No  pneumothorax is present.,not_entailment
Is there any sign of aspiration in the lungs?,IMPRESSION:   Stable radiographic appearance of the chest.,entailment
Does the lung picture show any fluid between the alveolar spaces?,No definite CHF.,entailment
What is the Endotracheal tube position?,Right  internal jugular central venous catheter is seen in stable position emanating  in the middle superior vena cava.,not_entailment
Was there any sign of infiltrate within the lungs?,"Again seen are diffuse interstitial and  alveolar infiltrates, essentially unchanged.",entailment
Are there any defects in the bone?,Small subcutaneous hematoma without foreign body detected anterior to the  frontal bone.,not_entailment
Are there any pathologies within the brain?,FINDINGS:  On diffusion-weighted images there is a small area of restricted  diffusion along the falx within the left occipitotemporal lobe.,entailment
Did the plueral effusion go down after thoracocentesis?,IMPRESSION: Cardiomegaly with worsening CHF and bilateral pleural effusions  compared to [**2155-11-29**].,entailment
Did you evaluate course of recurrent laryngeal nerve?,No evidence of mass along the course of the recurrent laryngeal nerve.,entailment
What is the rib level of chest port line?,"AP FRONTAL CHEST:  There has been interval removal of the right internal  jugular central catheter and placement of a left internal jugular catheter,  which terminates in the mid SVC.",entailment
Is there bleeding in GI?,IMPRESSION:  Negative GI bleed study.,not_entailment
Is there evidence of bleeding in GI?,There is extensive calcification of the abdominal aorta and its tributaries.,not_entailment
Is the Vagal nerve stimulator intact on the left side of chest?,"The pulmonary vasculature is normal,  and the lateral and posterior pleural sinuses are free.",not_entailment
Was the PICC line placement procedure easy?,"The catheter was then aspirated,  flushed, capped, and heplocked.",not_entailment
Did the heart show any changes in its size?,FINDINGS:  The heart is stably enlarged.,entailment
How is the heart on chest x ray?,There is cardiomegaly but no  significant change in size since prior study.,entailment
Is there any evidence of enlarged colon?,INDICATION:  Colonic ischemia.,not_entailment
Is there any sign of cholestasis?,IMPRESSION: Normal right upper quadrant ultrasound with no structural  abnormalities seen.,entailment
Was the scan done upright?,Note that the pelvis was not included on this film.,not_entailment
Is there evidence of new infiltrate?,There is no  pleural effusion or pneumothorax.,not_entailment
Where is the swan catheter located ?,The patient is s/p CABG.,not_entailment
Are there any focal or diffuse atherosclerotic plagues in the superior mesenteric artery?,The aorta is normal in caliber.,not_entailment
Are there any interval changes in the lungs after extubation? ,IMPRESSION: Improvement in bilateral lung opacity from PCP.,entailment
Was the PICC placed in the left arm?,A 0.018  guidewire was then advanced through the needle and into the SVC under  fluoroscopic guidance.,not_entailment
Is there evidence of infiltrate within the lungs?,"PA AND LATERAL VIEWS OF THE CHEST:  Lung volumes are low, but clear without  consolidation, pleural effusion, or pneumothorax.",entailment
Does the endotracheal tube end above the carina?,An NG  tube terminates in the fundus of the stomach.,not_entailment
Did you find signs of infiltrate?,"Note is made of patchy  opacity in the right lower lobe, which can represent early pneumonia.",entailment
Does the patient have a contained bleed in the head?,"FINDINGS:  Compared to the prior days study, there is stable appearance of the  right parietal intraparenchymal hemorrhage with surrounding edema.",entailment
Is there obsturction of flow to the kidneys?,Evaluation of the renal  parenchyma and main renal arteries is limited secondary to body habitus and  patient immobility.,not_entailment
"Do we see any fluid,blood or pus in the interstitial lung spaces?",IMPRESSION:  No acute cardiopulmonary abnormality.,entailment
Do we see any blood clots in the veins of right and left upper extremities?,FINDINGS:  [**Doctor Last Name **]-scale ultrasound and color duplex of the cephalic and basilic  veins bilaterally was performed.,not_entailment
What is the size of frontal hematoma now?,IMPRESSION:  Stable appearance of right frontal intraparenchymal hemorrhage.,not_entailment
Does the retroperitoneum appear normal after EP study?,The kidneys appear normal.,not_entailment
Is there any obstruction in superior mesenteric artery?,There is no biliary duct dilatation.,not_entailment
Does the x ray still show diffuse perihilar reticular interstitial opacifications?,"Improving diffuse lung opacities, consistent with response of PCP to  interval therapy.",entailment
Is there any interval change in the pneumocycstis pneumonia?,Exam unchanged from 1 day prior.,entailment
Is there any evidence of enlarged colon?,"There are air-filled loops of small and large bowel, but  there are no distended loops.",entailment
Has the ground glasss opacity gone down on chest x ray?,Allowing for differences in technique and positioning these  opacities do not appear significantly changed compared to prior study.,entailment
Is there evidence of hepatoma?,No gross liver lesion is  identified on these limited views.,entailment
Was there any evidence of effusion?,"The heart  size is probably normal, but the cardiac silhouette is partially obscured by a  moderate left pleural effusion.",entailment
Is there any evidence of pneumonia?,Clinical suspicion for pneumonia.,not_entailment
Are there any abnormalities in the lungs?,There are diffuse bilateral patchy air-space opacities and  bibasilar atelectasis.,entailment
What is the position of the left subclavian central line?,A left-sided PICC is also seen with tip  in the upper superior vena cava.,not_entailment
Is the new L IJ cath placed?,The left IJ central venous catheter has been advanced and the tip  is in the superior vena cava.,entailment
Is there evidence of bleeding in GI?,There is colonic diverticulosis without evidence of diverticulitis.,not_entailment
How are the veins in the upper extremities ?,Partial thrombosis of the left cephalic vein in the region of the  antecubital fossa.,not_entailment
Are there signs of retroperitoneal bleed?,There is  no evidence of retroperitoneal hematoma.,entailment
Do we find any unilateral or bilateral pleural effusion?,Minimal right pleural  effusion.,not_entailment
Are there any bony defects on the spine?,No acute  fracture or traumatic malalignment identified.,entailment
Is there any left over fluid in the plueral cavity?,The heart is large but not  significantly changed in size allowing for differences in technique.,not_entailment
Is the lead placed correctly?,The patient is status post median sternotomy and coronary artery bypass  surgery.,not_entailment
Is there any thickening of left recurrent laryngeal nerve seen?,Assess the course of the recurrent  laryngeal nerve.,not_entailment
Is the Vagal nerve stimulator intact on the left side of chest?,"As before,  evidence of healed rib fractures on the left side of [**Doctor Last Name **] 5 and 6 appear  unchanged.",not_entailment
How are the interstitial spaces in the lungs ?,"Continued interstitial  and alveolar infiltrates, consistent with PCP.",entailment
Is there any abnormality in the brain parenchyma?,FINDINGS:  There is no intracranial hemorrhage.,entailment
Is fluid collection present?,2.4 x 3.7 x 20 cm collection in the midline extending from the pelvis to  the mid abdomen at the incisional site.,entailment
What is the position of right internal jugular central line?,2) New right IJ line and orogastric tube appear to be in good position.,not_entailment
Was there any signs of CHF?,FINDINGS:  The heart is stably enlarged.,entailment
What do the kidneys look like?,RENAL ULTRASOUND:   The right kidney measures 10.3 cm.,entailment
Was there any pneumothorax casued due to trauma while placing subclavian pacemaker?,IMPRESSION:  Post left pacemaker placement without pneumothorax.,entailment
Was the vein mapping completed?,FINAL REPORT  HISTORY:  Vein mapping.,not_entailment
Is there any thickening of left recurrent laryngeal nerve seen?,No evidence of mass along the course of the recurrent laryngeal nerve.,entailment
Is there evidence of infiltrate within the lungs?,There is no hilar enlargement.,not_entailment
Is the Vagal nerve stimulator intact on the left side of chest?,The  patient has left-sided chest pain.,not_entailment
Does the x ray show any left distal phalanges fracture?,FINDINGS:  There is a linear lucency within the distal portion of the left  fourth middle phalanx extending to the intra-articular surface consistent with  acute fracture.,entailment
Was the PICC line placement procedure easy?,The PICC was then advanced over the wire through the sheath.,not_entailment
Are there any abnormalities in the lungs?,The soft tissue and osseous structures are  unremarkable.,not_entailment
Is there any sign of CAD?,IMPRESSION:  Normal study.,entailment
Is there any active bleeding site in the GI tract?,IMPRESSION:  Negative GI bleed study.,not_entailment
How are the lungs post extubation?,"Lungs are better inflated, suggestive of increasing compliance.",not_entailment
Do we see any mass in the liver?,"Although no gross liver lesion is identified, please  consider alternative forms of abdominal imaging ( MRI, CT ) for additional  followup.",entailment
Are there any interval changes noted on the chest X ray? ,These are not significantly changed.,not_entailment
Are there any defects in the bone?,The major intracranial cisterns are preserved.,not_entailment
Is there any sign of aspiration in the lungs?,There is no consolidation or pleural effusion.,entailment
What does the chest x ray show?,There is no  interval change in the positions of the pacemaker leads.,entailment
Is there evidence of PE?,"There is dependent material in the distal trachea, likely  mucus.",not_entailment
Is there evidence of thrombus?,"Within this limitation, the portal vein is noted to be patent;  however, waveforms were not well evaluated.",entailment
Is there injury to the chest wall?,FINDINGS:  Heart size is normal and there is no pulmonary vascular congestion.,not_entailment
Was the central line placed correctly?,FINAL REPORT  INDICATION:  Evaluate for central line placement.,not_entailment
Is there any new abnormalities after thoracentesis?,Bilateral pleural effusions are noted.,entailment
Was there any interval change?,IMPRESSION: Improvement in bilateral lung opacity from PCP.,entailment
Does the patient have a contained bleed in the head?,"IMPRESSION:  Stable appearance of right parietal lobe and left thalamic  hemorrhages, which are concerning for hemorrhagic metastasis in this patient  with known metastatic lung carcinoma to the brain.",entailment
Did the interstitial opacifications progress into consolidation?,There is a bilateral pattern of hazy ground-glass opacities with reticulation.,entailment
Is the left internal jugular cathether tip in the superior vena cava?,The heart size is within normal limits.,not_entailment
Is there evidence of stenosis?,No evidence of  significant stenoses on either side.,entailment
Are there any new pulmonary infiltrates?,There are  no pleural effusions seen.,not_entailment
Is there evidence of bleeding in GI?,Colonic diverticulosis without evidence of diverticuliltis.,not_entailment
Was the ETT placed correctly?,"IMPRESSION: Low positioned ETT, which should be repositioned for optimal  placement.",entailment
How well are the kidneys perfused?,The left kidney measures 9.5 cm.,not_entailment
Is there bleeding seen within the head?,The [**Doctor Last Name 107**]-white  matter differentiation is preserved.,not_entailment
Is there evidence of pneumothorax?,Rule out pneumothorax.,not_entailment
Are there any signs of inflammation in the lungs?,IMPRESSION:   No evidence of aspiration pneumonia seen on single AP chest view.,entailment
Does the patient have a contained bleed in the head?,At the  superior margin of the parenchymal hemorrhage there is a rounded heterogeneous  focus which could represent a metastatic lesion.,not_entailment
Is the dobhoff tube properly placed ?,No pneumothorax is  identified.,not_entailment
Did you find a cause for SOB?,Cardiomegaly.,entailment
Is there any increase in hematoma?,There is no hydrocephalus.,not_entailment
Are there any abnormalities on left chest wall?,FINDINGS:  PA and lateral chest view demonstrates the presence of an  electronic capsule in left anterior chest wall position.,not_entailment
How are the sinuses on CT scan?,Hemorrhagic secretions  are present within the nasal cavity with extension into the right maxillary  sinus.,entailment
Is there any evidence of pneumonia?,"Bilateral ground-glass opacities, as well as more confluent areas of  consolidation at the lung bases.",entailment
Are there any signs of intraabdominal abscess?,There is a small amount of free fluid in the pelvis.,not_entailment
Is there evidence of infiltrate within the lungs?,The cardiomediastinal  silhouette is normal.,not_entailment
Is there evidence of bleeding in GI?,There is no evidence of aortic dissection or aneurysm.,not_entailment
Is there any increase in hematoma?,IMPRESSION:  Stable appearance of right frontal intraparenchymal hemorrhage.,entailment
Do we see any plaque in the carotid blood vessels?,No evidence of  significant stenoses on either side.,entailment
Is there any fluid in the lungs?,There is an NG tube whose  tip is in the stomach.,not_entailment
How is the flow of bile through the biliary tree?,IMPRESSION: Normal right upper quadrant ultrasound with no structural  abnormalities seen.,entailment
Was there evidence of pleural effusion?,Small bilateral pleural effusions are seen.,entailment
How are the veins in the upper extremities ?,The distal portion of the right basilic vein at the  antecubital fossa was not visualized.,not_entailment
Was the PICC placed in the left arm?,"Under real time ultrasound guidance, the  left brachial vein was accessed using a 21 gauge micropuncture needle.",not_entailment
Is the dobhoff tube properly placed ?,The heart is mildly enlarged.,not_entailment
Did you find a cause for increasing resp rate?,There is worsening of the  diffuse bilateral fluffy infiltrates consistent with worsening PCP [**Name Initial (PRE) 8079**].,entailment
Is the left internal jugular cathether tip in the superior vena cava?,IMPRESSION:  ----- of the left IJ catheter in the superior vena cava.,entailment
Do we see the tip of dobhoff tube in the stomach or duodenum?,The tip of the feeding tube is identified in the distal esophagus.,entailment
Did you find evidence of pneumothorax?,No pneumothorax is seen.,entailment
Does the lung appear to have fewer or smaller consolidations?,"There has been interval improvement in  the bilateral ground glass, patchy opacities.",entailment
Is there any mass/tissue having a pressure effect on the neural tissue?,IMPRESSION:  No acute intracranial abnormality.,entailment
How does the brain look like on CT ?,IMPRESSION:  No evidence of acute intracranial injury.,entailment
Is the NGT placed correctly?,"The information is communicated with the referring physician, [**Last Name (NamePattern4) **].",not_entailment
Is there any change over the interval within pneumonia?,Moderate gastric distention is seen in the upper abdomen.,not_entailment
Where is the swan catheter located ?,There is blunting of the costophrenic  angles.,not_entailment
Did you find a cause for increasing resp rate?,IMPRESSION:  Worsening PC pneumonia.,entailment
Do we see any fluid in the lungs?,Possible area of consolidation in the right upper lung.,not_entailment
Is there interval change within the airpsace?,An endotracheal tube is present with tip approximately 3 cm above the carina.,not_entailment
Are there any interval changes in the lungs after extubation? ,"There is  interval improvement in the bilateral lung opacity, most marked in the right  lung base.",entailment
Is there evidence of stenosis?,The ICA to CCA ratio on the right is 1.0 and on the left 1.7.,entailment
What is the Endotracheal tube position?,Mild compression is recommended.,not_entailment
Did the thoracocentesis cause any pneumothorax on the left side?,There has been interval  reduction of left-sided pleural effusion.,not_entailment
What is the position of pacemaker ?,Heart size is upper limits of  normal and stable.,not_entailment
Is there a cause for worsening in dyspnea?,There is no  interval change in the positions of the pacemaker leads.,not_entailment
Is there any abnormality in the brain parenchyma?,"The ventricles, cisterns, and sulci  are normal in size and configuration.",not_entailment
Was there infiltrate within the lungs?,"The lung volumes are  low, in expiration.",not_entailment
Is there any evidence of pneumonia?,There is probably a small left pleural effusion.,not_entailment
Is the right IJ line positioned correctly?,There is moderate accumulation  of gas in the large and small bowel.,not_entailment
Was there evidence of DVT?,IMPRESSION:  No evidence of left upper extremity DVT.,entailment
Is there evidence of infiltrate within the lungs?,"Although there are low lung volumes,  there is no evidence of acute pneumonia.",entailment
Do we see any mass in the liver?,No ascites is seen in the abdomen.,not_entailment
Are there any evidence of bony defects?,No acute  fracture or traumatic malalignment identified.,entailment
Is the PICC line placed in left arm?,The line is ready  for use.,not_entailment
What is the alignment of cervical vertebrae?,No acute  fracture or traumatic malalignment identified.,entailment
Are there any signs of infiltrate?,Rule out infiltrate.,not_entailment
Is there any evidence of bleeding?,There is no mass effect or  shift of the normally midline structures.,not_entailment
Are there signs of pneumonia?,CLINICAL INDICATION:  Question aspiration pneumonia.,not_entailment
Are there any abnormalities on left chest wall?,"On the lateral view, calcifications within the aortic valve area are  identified.",not_entailment
Was there evidence of pneumonia?,IMPRESSION:  No evidence of traumatic injury to the chest.,not_entailment
How is the great saphenous vein on the right side?,"The right lesser saphenous vein was small but patent and  measured diameters of 0.06, 0.08, and 0.09 cm.",not_entailment
Is there any mass/tissue having a pressure effect on the neural tissue?,There is no mass effect or  shift of the normally midline structures.,entailment
Are any abnormal masses present?,IMPRESSION:  No acute intracranial abnormality.,entailment
Is there evidence of acute process?,"There is no pleural  effusion, focal consolidation or pneumothorax.",not_entailment
Was the line placed correctly?,"The line shows a correct course, the tip of the line projects  over the mid SVC.",entailment
Are the portal veins patent?,"Within this limitation,  there is flow within the portal vein; however, waveforms were not demonstrated  well.",entailment
Is there any new abnormalities after thoracentesis?,There  is opacification of the retrocardiac space consistent with atelectasis.,not_entailment
IS there evidence of hydr?,IMPRESSION:   1)  No evidence of hydronephrosis.,entailment
Do we see any trauma causing air in the periplueral space?,No effusion or  pneumothorax is detected.,entailment
How well are the kidneys perfused?,"Resistive indices are elevated, between 0.73-0.78  in the right kidney and 0.64-0.82 in the left kidney.",not_entailment
Is there evidence of CHF?,Pulmonary  vasculature is normal.,not_entailment
Is there evidence of pneumonia?,IMPRESSION:   No evidence of aspiration pneumonia seen on single AP chest view.,entailment
Is the central venous line in the location it was aimed at?,The patient has received a right central venous  access line.,not_entailment
Was there any change over the interval for PCP?,"There has been interval improvement in  the bilateral ground glass, patchy opacities.",entailment
IS there signs of pneumothorax?,There is extensive  bilateral air space infiltration slightly more marked on the left side.,not_entailment
Is the lung parenchyma clear?,"Allowing for differences in technique, there is no significant change in the  interval.",not_entailment
What is the condition of GSV?,The mid portion of the greater  saphenous vein was not visualized consistent with a history of harvesting.,entailment
Does the lungs appear to have any interstitial infiltrates?,"IMPRESSION:   Patchy opacity in the right lower lobe, which can represent early pneumonia.",entailment
Did the thoracocentesis cause any pneumothorax on the left side?,No pneumothorax is seen.,entailment
Are there any interval changes in the lungs after extubation? ,"Lungs are better inflated, suggestive of increasing compliance.",not_entailment
Is there evidence of new infiltrate?,"A vague opacity in the right apex is demonstrated projecting  at the level of the anterior end of the second rib and may represent either  summation of shadows or new opacity, given the absence of this finding on the  previous radiograph.",entailment
Is there evidence of acid reflux?,"There is no oropharyngeal residue or aspiration with nectar, pudding or cookie  consistencies.",not_entailment
Is there a cause for worsening in dyspnea?,The lung volumes are  low.,entailment
Is there any obstruction in superior mesenteric artery?,"IMPRESSION:  Patent celiac and SMA, there is no ultrasound evidence of  stenosis.",entailment
Did the pnuemonia on the x-ray change in the interim? ,These are not significantly changed.,entailment
Is there evidence of bleeding in GI?,There is atelectasis primarily involving the  bases as well as scarring of the right middle lobe.,not_entailment
How are the sinuses on CT scan?,The orbits and orbital cones are within normal limits.,not_entailment
Are there any abnormalities in the lungs?,IMPRESSION: Assuming that the patient's symptoms have developed acutely (given  the lack of a prior study) this most likely represents pulmonary edema versus  ARDS.,entailment
Are there signs of pneumonia?,"As compared to the previous study, alveolar opacities adjacent to the  perihilar mass have resolved.",entailment
Is there any evidence of bleeding?,FINDINGS:  There is no intracranial hemorrhage.,entailment
Is there evidence of stenotic disease?,"The celiac and SMA are widely patent, Doppler  assessment shows normal spectral flow and velocities within normal limits.",entailment
Was there any sign of pneumonia?,"Continued interstitial  and alveolar infiltrates, consistent with PCP.",entailment
Is the central venous line in the location it was aimed at?,"FINAL REPORT  CHEST RADIOGRAPH:   INDICATION:  New central venous access line, trauma, evaluation for  pneumothorax.",not_entailment
Is there evidence of pneumonia?,No pneumothorax is seen.,not_entailment
Is there any sign of fracture?,There is  no evidence of free intra-abdominal air.,not_entailment
Is there any evidence of fracture?,FINDINGS:  There is a linear lucency within the distal portion of the left  fourth middle phalanx extending to the intra-articular surface consistent with  acute fracture.,entailment
Is there interval change in pneumonia?,"2) Diffuse bilateral ground glass and alveolar opacities, consistent with  pneumocystis pneumonia, and unchanged.",entailment
Do we see any blood clots in the veins of right and left upper extremities?,"The  reminder of the left cephalic vein was patent, demonstrated flow and diameters  of 0.39, 0.33, 0.23, 0.29, 0.35, 0.36, and 0.28.",not_entailment
IS there worsening pneumonia? ,The  overall appearances are unchanged since the prior examination.,entailment
Where is the endotracheal tube tip placed?,NG tube is coiled in the fundus with distal tip directed cephalad.,not_entailment
Is there any change over the interval in pneumonia?,No change in lung volumes.,not_entailment
Does the lung shows signs of collapse in certain lobes?,The nasogastric tube and  endotracheal tube are in satisfactory position.,not_entailment
Is there any evidence of bleeding in the chest cavity?,There is extensive calcification of the abdominal aorta and its tributaries.,not_entailment
Is there any abnormality in the brain parenchyma?,TECHNIQUE:  CT of the brain without intravenous contrast.,not_entailment
Is the lead properly placed?,There is no  pneumothorax.,not_entailment
Is the left subclavian central line in the desired position and location?,A new  left-sided subclavian central venous line is seen with tip in the mid superior  vena cava.,entailment
Is interval change present in pneumocystis pneumonia?,Exam unchanged from 1 day prior.,entailment
What is the placement of distal tip of right PICC?,WET READ: EAGg FRI [**2126-7-19**] 5:54 PM   Distal tip of right PICC in the upper to mid-SVC.,entailment
Is there any evidence of pulmonary edema?,The  pulmonary vascularity appears within normal limits without evidence of edema.,entailment
What is the alignment of cervical vertebrae?,IMPRESSION:  No acute fracture or traumatic malalignment detected.,entailment
Is there any difference in the infiltrates?,Followup of  infiltrates.,not_entailment
Is there any collection of blood anywhere in or around sinuses?,A small amount of hemorrhage  is detected layering in the right sphenoid sinus.,not_entailment
Is the right IJ line positioned correctly?,Evaluate for right IJ central line position.,not_entailment
Where is the tip of nasogastric tube?,The  patient is rotated.,not_entailment
Does the patient have a contained bleed in the head?,The ventricles are stable in  appearance.,not_entailment
Is there evidence of PE?,CT CHEST WITH IV CONTRAST:  There is no evidence of pulmonary embolism.,entailment
Are there any fractures in the fingers?,FINDINGS:  There is a healing fracture of the fourth middle phalanx.,entailment
Is there any fluid in the lungs?,AP SUPINE PORTABLE CHEST RADIOGRAPH:  Again seen is a left IJ catheter  terminating in the proximal SVC in stable position.,not_entailment
Does the patient continue to have bilateral pulmonary infiltrates ?,"There are  bilateral hazy areas of ground-glass opacification, as well as more confluent  areas of consolidation at the lung bases.",entailment
How are the pulmonary arteries and veins?,CT CHEST WITH IV CONTRAST:  There is no evidence of pulmonary embolism.,entailment
Is there anything on chest x ray which can explain the shortness of breath?,Cardiomegaly.,entailment
Was there evidence of pleural effusion?,FINDINGS: There has been interval removal of the pulmonary artery catheter.,not_entailment
Is there any collection of blood anywhere in or around sinuses?,Hemorrhagic products within the nasal cavity and right maxillary sinus  secondary to trauma.,entailment
How is the position of oro-gastric tube?,An ET tube terminates within 2 cm of the carina with the neck in a flexed  position.,not_entailment
What is the condition of GSV?,Only a small portion of the right greater saphenous vein at the takeoff  was visualized.,entailment
Was the ETT Tube placed in the correct position?,IMPRESSION:   Endotracheal tube in good position approximately 2 cm superior to the carina.,entailment
What is the size of hemorrhage ?,"FINDINGS:  Compared to the prior days study, there is stable appearance of the  right parietal intraparenchymal hemorrhage with surrounding edema.",entailment
Is there any obstruction in superior mesenteric artery?,There is no spectral broadening.,not_entailment
IS there evidence of hydr?,No  evidence of hydronephrosis.,entailment
what is the location of vagal nerve stimulator cable?,Moderately  severe degenerative changes of the cervical spine are noted.,not_entailment
Do we see any neck mass obstructing the course of RLN?,No evidence of mass along the course of the recurrent laryngeal nerve.,entailment
What is the size of hemorrhage ?,Question hemorrhagic mass.,not_entailment
Are there any signs of intraabdominal abscess?,There is no evidence of abscess.,not_entailment
Was the vein mapping completed?,FINDINGS:  [**Doctor Last Name **]-scale ultrasound and color duplex of the cephalic and basilic  veins bilaterally was performed.,entailment
How is the position of oro-gastric tube?,NG tube is coiled in the fundus with distal tip directed cephalad.,entailment
Is there evidence of infiltrate within the lungs?,There is a dual chamber pacemaker without significant change.,not_entailment
Are there signs of retroperitoneal bleed?,Unopacified loops of bowel  are unremarkable.,not_entailment
Was the PICC placed in the left arm?,The needle was then exchanged for an introducer  sheath.,not_entailment
Is the NGT placed correctly?,The  patient is rotated.,not_entailment
Is the lead properly placed?,The patient is status post CABG.,not_entailment
Is the position of ET tube as expected?,AP SUPINE CHEST X-RAY:  An endotracheal tube with its tip at the orifice of  the right main stem bronchus is noted.,entailment
Is the Et tube patent?,A nasogastric tube is positioned with  its side-hole in the mid esophagus and its tip in the mid esophagus.,not_entailment
